(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(6)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(206)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(212)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(217)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(221)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(230)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(231)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(234)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(236)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(238)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(242)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(255)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(261)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(262)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(265)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(271)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(274)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(283)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(290)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(292)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(293)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(296)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(309)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(311)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(322)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(334)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(337)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(340)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(346)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(347)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(351)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(355)), {C=0.001095290251916758, S=0.0009726680284019065}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(360)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(362)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(365)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(366)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(379)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(380)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(382)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(384)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(385)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(388)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(389)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(394)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(395)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(398)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(399)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(400)), {C=0.0009857612267250822, S=0.0008754012255617158}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(402)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(404)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(405)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(411)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(412)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(413)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(422)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(425)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(426)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(427)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(432)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(433)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(435)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(437)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(438)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(441)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(442)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(445)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(447)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(449)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(452)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(462)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(463)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(469)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(472)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(475)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(482)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(483)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(484)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(485)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(486)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(488)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(489)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(491)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(492)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(501)), {C=0.0009857612267250822, S=0.0008754012255617158}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(503)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(508)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(510)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(511)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(515)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(518)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(525)), {C=0.0012048192771084338, S=0.001069934831242097}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(529)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(530)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(532)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(535)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(536)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(540)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(541)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(549)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(551)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(552)), {C=0.0009857612267250822, S=0.0008754012255617158}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(556)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(563)), {C=0.0009857612267250822, S=0.0008754012255617158}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(566)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(572)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(573)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(576)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(578)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(580)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(581)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(582)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(583)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(590)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(591)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(594)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(595)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(597)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(605)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(606)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(609)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(611)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(612)), {C=0.001095290251916758, S=0.0009726680284019065}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(613)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(617)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(622)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(623)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(627)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(631)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(632)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(633)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(639)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(643)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(646)), {C=0.0009857612267250822, S=0.0008754012255617158}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(649)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(651)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(653)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(658)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(660)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(671)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(672)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(674)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(677)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(679)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(680)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(685)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(687)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(688)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(691)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(699)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(707)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(710)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(718)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(725)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(728)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(731)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(733)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(741)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(746)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(748)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(751)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(752)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(755)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(765)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(768)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(769)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(772)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(776)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(778)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(779)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(788)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(792)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(795)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(798)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(804)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(805)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(808)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(813)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(814)), {C=0.0006571741511500548, S=0.0005836008170411438}
