(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(17)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(456)), {C=0.0006313795643481005, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(457)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(469)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(472)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(476)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(490)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(511)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(516)), {C=0.0006313795643481005, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(535)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(549)), {C=0.0008418394191308009, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(566)), {C=0.0006313795643481005, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(580)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(624)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(677)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(679)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(692)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(730)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(733)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(799)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(822)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(832)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(836)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(840)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(860)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(862)), {C=0.0007366094917394506, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(871)), {C=0.0006313795643481005, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(884)), {C=0.0006313795643481005, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(913)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(957)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(960)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(968)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(990)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(999)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1001)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1002)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1015)), {C=0.0006313795643481005, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1018)), {C=0.0007366094917394506, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1024)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1039)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1048)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1104)), {C=0.0006313795643481005, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1120)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1165)), {C=0.0007366094917394506, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1176)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1210)), {C=0.0006313795643481005, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1218)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1245)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1247)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1292)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1308)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1314)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1327)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1348)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1356)), {C=0.0006313795643481005, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1387)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1388)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1389)), {C=0.0008418394191308009, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1408)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1414)), {C=0.0006313795643481005, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1426)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1448)), {C=0.0006313795643481005, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1453)), {C=0.0007366094917394506, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1504)), {C=0.0006313795643481005, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1519)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1522)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1526)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1528)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1533)), {C=0.0008418394191308009, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1543)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(1558)), {C=0.0005261496369567505, S=0.00048633401420095323}
