(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(53)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(510)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(525)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(529)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(531)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(546)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(550)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(551)), {C=0.0007394105841343613, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(567)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(589)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(594)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(609)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(622)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(624)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(628)), {C=0.0007394105841343613, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(677)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(710)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(712)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(741)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(748)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(788)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(866)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(876)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(888)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(900)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(930)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(939)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(947)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(970)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1044)), {C=0.0007394105841343613, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1053)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1078)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1096)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1103)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1124)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1141)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1204)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1237)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1263)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1275)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1362)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1388)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1389)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1413)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1446)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1470)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1487)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1504)), {C=0.0008450406675821274, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1558)), {C=0.0005281504172388297, S=0.00048633401420095323}
