(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(3)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(136)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(137)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(142)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(143)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(147)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(153)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(162)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(172)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(173)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(176)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(177)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(179)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(183)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(186)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(206)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(211)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(217)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(223)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(226)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(227)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(228)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(230)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(232)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(234)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(237)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(239)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(246)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(248)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(252)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(254)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(262)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(264)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(266)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(269)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(271)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(272)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(284)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(286)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(294)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(297)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(298)), {C=0.001353994283135249, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(303)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(304)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(311)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(320)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(321)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(323)), {C=0.001504438092372499, S=0.0009726680284019065}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(326)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(331)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(334)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(337)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(339)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(341)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(345)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(349)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(350)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(356)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(358)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(362)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(369)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(371)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(373)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(376)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(378)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(379)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(382)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(384)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(390)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(393)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(394)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(399)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(400)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(402)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(404)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(405)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(406)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(409)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(410)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(411)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(415)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(417)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(426)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(428)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(432)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(434)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(439)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(440)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(441)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(443)), {C=0.001353994283135249, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(446)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(450)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(455)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(460)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(466)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(467)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(468)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(472)), {C=0.001504438092372499, S=0.0009726680284019065}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(475)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(477)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(478)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(482)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(486)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(488)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(495)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(497)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(502)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(503)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(504)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(505)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(506)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(508)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(512)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(514)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(517)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(518)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(520)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(522)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(523)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(524)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(527)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(528)), {C=0.001353994283135249, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(530)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(536)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(537)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(539)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(540)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(543)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(544)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(547)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(549)), {C=0.001353994283135249, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(555)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(557)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(560)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(561)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(563)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(566)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(567)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(570)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(572)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(574)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(576)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(579)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(584)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(587)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(588)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(591)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(593)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(594)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(603)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(605)), {C=0.001353994283135249, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(609)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(613)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(614)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(615)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(617)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(626)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(631)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(632)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(633)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(638)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(640)), {C=0.001353994283135249, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(641)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(645)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(648)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(650)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(653)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(660)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(661)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(662)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(668)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(670)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(673)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(685)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(689)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(690)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(692)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(696)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(707)), {C=0.0007522190461862495, S=0.00048633401420095323}
