(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(21)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(664)), {C=0.0008991458114790948, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(671)), {C=0.0008991458114790948, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(698)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(746)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(763)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(779)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(782)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(837)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(848)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(849)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(863)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(869)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(887)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(914)), {C=0.0010490034467256107, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(923)), {C=0.0008991458114790948, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(929)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(931)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(948)), {C=0.0010490034467256107, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(953)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(962)), {C=0.0010490034467256107, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(964)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(967)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(975)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(979)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(984)), {C=0.0008991458114790948, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1044)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1054)), {C=0.0008991458114790948, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1059)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1083)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1086)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1109)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1120)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1133)), {C=0.0008991458114790948, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1162)), {C=0.0010490034467256107, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1164)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1192)), {C=0.0010490034467256107, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1199)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1222)), {C=0.0010490034467256107, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1230)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1251)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1329)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1335)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1347)), {C=0.0008991458114790948, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1351)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1382)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1434)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1496)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1527)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1552)), {C=0.0007492881762325792, S=0.00048633401420095323}
