(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(5)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(59)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(60)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(62)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(65)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(69)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(70)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(72)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(75)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(76)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(81)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(83)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(84)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(86)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(90)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(96)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(98)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(100)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(101)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(103)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(104)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(108)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(109)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(112)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(117)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(118)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(120)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(121)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(124)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(126)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(131)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(134)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(139)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(142)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(144)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(146)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(148)), {C=0.001001001001001001, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(149)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(151)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(159)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(160)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(162)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(164)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(186)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(190)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(195)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(196)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(197)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(198)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(211)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(212)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(214)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(220)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(221)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(222)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(223)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(225)), {C=0.0011011011011011012, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(227)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(234)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(238)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(244)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(248)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(249)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(250)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(251)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(254)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(255)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(258)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(259)), {C=0.001001001001001001, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(260)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(265)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(268)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(274)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(275)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(277)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(278)), {C=0.001001001001001001, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(279)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(283)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(285)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(293)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(295)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(297)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(298)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(300)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(301)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(304)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(306)), {C=0.0011011011011011012, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(308)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(310)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(311)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(312)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(313)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(318)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(321)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(328)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(331)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(339)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(341)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(349)), {C=0.001001001001001001, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(351)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(354)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(356)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(357)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(359)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(361)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(364)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(365)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(367)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(370)), {C=0.001001001001001001, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(371)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(373)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(374)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(375)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(378)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(379)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(382)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(384)), {C=0.001001001001001001, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(385)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(389)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(392)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(394)), {C=0.001001001001001001, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(399)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(400)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(402)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(403)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(404)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(407)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(410)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(412)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(414)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(416)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(417)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(418)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(419)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(420)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(421)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(422)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(425)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(426)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(427)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(428)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(433)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(434)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(438)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(439)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(440)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(441)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(443)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(445)), {C=0.001001001001001001, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(448)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(449)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(451)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(453)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(455)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(456)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(458)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(460)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(461)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(463)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(464)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(465)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(466)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(467)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(471)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(475)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(476)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(479)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(481)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(483)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(485)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(490)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(492)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(493)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(494)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(495)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(496)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(497)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(498)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(499)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(500)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(503)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(504)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(505)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(506)), {C=0.0006006006006006006, S=0.0005836008170411438}
