(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(66)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(433)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(439)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(446)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(525)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(535)), {C=0.000608149199270221, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(572)), {C=0.0008108655990269614, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(626)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(748)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(749)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(755)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(772)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(778)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(801)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(812)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(842)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(867)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(897)), {C=0.000608149199270221, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(916)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(918)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(935)), {C=0.000608149199270221, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(993)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1002)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1066)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1067)), {C=0.0009122237989053315, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1266)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1308)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1311)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1315)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1328)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1346)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1392)), {C=0.0008108655990269614, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1407)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1413)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1415)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1454)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1467)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1491)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1508)), {C=0.0005067909993918509, S=0.00048633401420095323}
