(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(17)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(404)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(406)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(407)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(408)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(410)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(412)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(446)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(450)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(481)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(499)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(520)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(529)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(537)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(568)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(570)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(577)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(597)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(604)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(607)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(608)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(610)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(614)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(618)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(648)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(660)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(664)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(665)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(673)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(684)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(690)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(693)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(699)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(701)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(706)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(708)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(718)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(732)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(735)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(750)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(774)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(778)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(779)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(789)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(797)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(803)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(808)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(815)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(830)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(837)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(839)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(847)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(853)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(855)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(867)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(882)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(891)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(892)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(896)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(897)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(907)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(909)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(912)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(916)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(920)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(926)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(928)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(947)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(963)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(964)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(969)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(972)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(973)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(975)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(976)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(987)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(992)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(993)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(999)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1006)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1008)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1011)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1015)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1018)), {C=0.0008016032064128256, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1029)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1055)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1077)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1086)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1088)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1092)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1100)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1105)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1120)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1128)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1140)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1145)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1160)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1172)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1173)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1192)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1196)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1206)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1208)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1211)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1213)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1218)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1235)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1239)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1259)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1261)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1270)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1281)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1305)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1312)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1328)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1329)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1330)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1342)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1344)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1347)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1356)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1358)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1388)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1411)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1413)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1416)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1419)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1440)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0009018036072144289, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1458)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1467)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1485)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1494)), {C=0.0006012024048096192, S=0.0005836008170411438}
