(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(8)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(800)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(804)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(814)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(827)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(840)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(844)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(848)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(883)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(898)), {C=0.0009018036072144289, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(915)), {C=0.0008016032064128256, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(934)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(943)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(955)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(972)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(982)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1000)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1043)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1061)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1075)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1165)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1177)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1192)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1198)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1212)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1254)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1260)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1262)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1269)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1313)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1319)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1320)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1342)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1453)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1457)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1491)), {C=0.000501002004008016, S=0.00048633401420095323}
