(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(3)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(825)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(826)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(838)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(877)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(882)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(951)), {C=0.0010149340292880961, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1003)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1024)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1061)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1198)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1207)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1224)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1254)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1316)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1319)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1336)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1376)), {C=0.0008699434536755111, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1410)), {C=0.0008699434536755111, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1467)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1527)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1553)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(3)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(50)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(67)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(90)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(107)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(133)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(220)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(269)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(347)), {C=0.0008699434536755111, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(360)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(368)), {C=0.0010149340292880961, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(425)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(443)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(456)), {C=0.0008699434536755111, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(475)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(476)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(483)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(488)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(556)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(564)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(576)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(633)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(642)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(693)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(712)), {C=0.0008699434536755111, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(726)), {C=0.0008699434536755111, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(728)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(822)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(825)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(826)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(838)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(877)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(882)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(951)), {C=0.0010149340292880961, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1003)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1024)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1061)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1198)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1207)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1224)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1254)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1316)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1319)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1336)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1376)), {C=0.0008699434536755111, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1410)), {C=0.0008699434536755111, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1467)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1527)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1553)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(3)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(50)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(67)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(90)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(107)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(133)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(220)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(269)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(347)), {C=0.0008699434536755111, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(360)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(368)), {C=0.0010149340292880961, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(425)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(443)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(456)), {C=0.0008699434536755111, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(475)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(476)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(483)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(488)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(556)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(564)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(576)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(633)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(642)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(693)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(712)), {C=0.0008699434536755111, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(726)), {C=0.0008699434536755111, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(728)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(822)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(825)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(826)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(838)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(877)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(882)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(951)), {C=0.0010149340292880961, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1003)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1024)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1061)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1198)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1207)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1224)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1254)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1316)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1319)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1336)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1376)), {C=0.0008699434536755111, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1410)), {C=0.0008699434536755111, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1467)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1527)), {C=0.0007249528780629259, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(N)) --> (buy(1553)), {C=0.0007249528780629259, S=0.00048633401420095323}
