(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(128)), {C=0.0007836990595611285, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(128)), {C=0.0007836990595611285, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(358)), {C=0.0006530825496342738, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(388)), {C=0.0006530825496342738, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(570)), {C=0.0006530825496342738, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(583)), {C=0.0006530825496342738, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(593)), {C=0.0006530825496342738, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(682)), {C=0.0006530825496342738, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(733)), {C=0.0006530825496342738, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(782)), {C=0.0006530825496342738, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(848)), {C=0.0006530825496342738, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1136)), {C=0.0007836990595611285, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1356)), {C=0.0007836990595611285, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1358)), {C=0.0007836990595611285, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1389)), {C=0.0006530825496342738, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1406)), {C=0.0006530825496342738, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1446)), {C=0.0009143155694879832, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1452)), {C=0.0006530825496342738, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1491)), {C=0.0006530825496342738, S=0.00048633401420095323}
