(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(36)), {C=0.0006634966272254782, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(444)), {C=0.0005529138560212319, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(447)), {C=0.0005529138560212319, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(489)), {C=0.0005529138560212319, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(519)), {C=0.0006634966272254782, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(642)), {C=0.0005529138560212319, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(896)), {C=0.0005529138560212319, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(945)), {C=0.0005529138560212319, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1018)), {C=0.0007740793984297247, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1045)), {C=0.0006634966272254782, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1141)), {C=0.0005529138560212319, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1161)), {C=0.0006634966272254782, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1173)), {C=0.0005529138560212319, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1380)), {C=0.0005529138560212319, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1396)), {C=0.0005529138560212319, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0005529138560212319, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1417)), {C=0.0005529138560212319, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1497)), {C=0.0005529138560212319, S=0.00048633401420095323}
