(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(7)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(339)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(346)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(357)), {C=0.0011139401654996816, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(362)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(364)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(373)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(407)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(411)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(418)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(419)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(420)), {C=0.0012730744748567792, S=0.0007781344227215252}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(422)), {C=0.0012730744748567792, S=0.0007781344227215252}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(428)), {C=0.0011139401654996816, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(431)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(434)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(437)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(462)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(465)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(474)), {C=0.0011139401654996816, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(478)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(485)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(507)), {C=0.0011139401654996816, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(542)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(551)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(562)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(564)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(568)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(577)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(582)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(584)), {C=0.0011139401654996816, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(607)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(609)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(622)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(628)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(644)), {C=0.0012730744748567792, S=0.0007781344227215252}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(656)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(665)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(684)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(718)), {C=0.0011139401654996816, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(726)), {C=0.0011139401654996816, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(739)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(770)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(778)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(791)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(793)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(796)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(798)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(800)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(808)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(835)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(837)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(840)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(851)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(860)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(872)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(885)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(887)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(900)), {C=0.0011139401654996816, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(908)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(917)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(921)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(933)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(950)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(955)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(962)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(972)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(973)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(977)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(983)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(991)), {C=0.0011139401654996816, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(995)), {C=0.0011139401654996816, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1039)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1046)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1048)), {C=0.0011139401654996816, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1053)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1055)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1056)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1064)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1066)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1068)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1084)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1088)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1089)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1090)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1095)), {C=0.0011139401654996816, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1121)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1150)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1154)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1170)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1176)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1178)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1179)), {C=0.0011139401654996816, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1222)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1243)), {C=0.0012730744748567792, S=0.0007781344227215252}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1261)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1266)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1267)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1282)), {C=0.0012730744748567792, S=0.0007781344227215252}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1299)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1311)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1313)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1337)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1360)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1366)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1377)), {C=0.0011139401654996816, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1382)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1390)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1396)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1398)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1411)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1421)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1423)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1425)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1428)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1433)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1436)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1443)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1446)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1456)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1465)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1497)), {C=0.0011139401654996816, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1501)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1506)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1512)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1545)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1554)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1555)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(1556)), {C=0.000795671546785487, S=0.00048633401420095323}
