(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(5)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(92)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(93)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(95)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(96)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(98)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(105)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(106)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(109)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(112)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(116)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(117)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(119)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(125)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(127)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(130)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(131)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(133)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(137)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(144)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(148)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(149)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(150)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(165)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(173)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(180)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(182)), {C=0.0013341239252890604, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(185)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(189)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(192)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(194)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(197)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(198)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(205)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(207)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(212)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(214)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(215)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(218)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(222)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(233)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(237)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(242)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(247)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(248)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(250)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(254)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(261)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(262)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(265)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(273)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(274)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(275)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(278)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(279)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(297)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(301)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(305)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(309)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(310)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(314)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(328)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(330)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(334)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(336)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(337)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(344)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(345)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(349)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(350)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(351)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(360)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(361)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(364)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(365)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(367)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(370)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(371)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(374)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(375)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(378)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(379)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(382)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(384)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(386)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(390)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(392)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(399)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(402)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(403)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(404)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(408)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(410)), {C=0.0013341239252890604, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(411)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(413)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(415)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(416)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(418)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(420)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(421)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(422)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(424)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(426)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(435)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(438)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(440)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(442)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(443)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(445)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(446)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(447)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(448)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(449)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(451)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(452)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(453)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(454)), {C=0.0013341239252890604, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(455)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(458)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(462)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(464)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(465)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(466)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(468)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(471)), {C=0.0013341239252890604, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(472)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(476)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(477)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(478)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(479)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(482)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(485)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(490)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(496)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(499)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(502)), {C=0.0013341239252890604, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(503)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(504)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(506)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(511)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(515)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(517)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(519)), {C=0.0016305959086866293, S=0.001069934831242097}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(520)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(522)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(523)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(524)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(525)), {C=0.0014823599169878447, S=0.0009726680284019065}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(526)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(527)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(534)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(536)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(537)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(538)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(546)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(547)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(548)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(554)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(562)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(565)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(567)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(568)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(569)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(570)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(571)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(575)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(577)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(579)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(580)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(581)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(582)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(584)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(585)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(586)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(589)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(590)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(592)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(593)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(594)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(595)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(597)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(603)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(604)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(606)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(607)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(608)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(609)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(610)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(611)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(612)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(613)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(614)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(615)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(616)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(617)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(618)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(620)), {C=0.0014823599169878447, S=0.0009726680284019065}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(623)), {C=0.0013341239252890604, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(629)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(634)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(639)), {C=0.0010376519418914911, S=0.0006808676198813345}
