(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(37)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(588)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(590)), {C=0.0008051529790660224, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(593)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(596)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(605)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(634)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(645)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(657)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(703)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(707)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(725)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(755)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(761)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(768)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(774)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(788)), {C=0.0008051529790660224, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(789)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(790)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(797)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(813)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(827)), {C=0.0008051529790660224, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(831)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(866)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(881)), {C=0.0010351966873706005, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(888)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(891)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(898)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(899)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(901)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(909)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(931)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(935)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(956)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(966)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(977)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1006)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1012)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1014)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1018)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1019)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1029)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1045)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1049)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1055)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1061)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1067)), {C=0.0008051529790660224, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1121)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1129)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1146)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1158)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1162)), {C=0.0008051529790660224, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1177)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1185)), {C=0.0009201748332183116, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1196)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1205)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1212)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1219)), {C=0.0008051529790660224, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1220)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1231)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1246)), {C=0.0008051529790660224, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1254)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1262)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1278)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1298)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1300)), {C=0.0008051529790660224, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1308)), {C=0.0009201748332183116, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1321)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1322)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1395)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1396)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1411)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1424)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1438)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1441)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1443)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1450)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1456)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1459)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1462)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1492)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1506)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1508)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1509)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1521)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1530)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1539)), {C=0.0005751092707614447, S=0.00048633401420095323}
