(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(17)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1077)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1096)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1115)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1122)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1134)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1177)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1196)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1265)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1283)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1297)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1335)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1382)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1421)), {C=0.000713121434392828, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1423)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1445)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1492)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1506)), {C=0.0005093724531377344, S=0.00048633401420095323}
