(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(6)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(358)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(384)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(389)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(394)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(410)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(420)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(421)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(422)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(426)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(434)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(457)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(469)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(482)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(500)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(502)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(504)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(522)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(544)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(557)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(562)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(565)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(573)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(586)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(594)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(598)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(599)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(609)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(632)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(639)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(660)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(682)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(707)), {C=0.0007960199004975125, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(725)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(760)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(762)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(765)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(769)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(770)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(784)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(815)), {C=0.0006965174129353233, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(820)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(835)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(865)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(877)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(880)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(888)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(911)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(939)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(940)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(943)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(951)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(956)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(984)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(990)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(992)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(993)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(998)), {C=0.0006965174129353233, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1034)), {C=0.0008955223880597015, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1057)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1059)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1063)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1073)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1075)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1077)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1080)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1090)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1098)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1111)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1123)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1128)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1132)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1144)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1149)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1180)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1187)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1196)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1208)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1217)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1234)), {C=0.0007960199004975125, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1258)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1263)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1319)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1332)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1337)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1342)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1347)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1354)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1366)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1368)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1386)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1387)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1394)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1411)), {C=0.0006965174129353233, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1412)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1413)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1426)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1438)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1442)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1447)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1453)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1454)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1457)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1458)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1460)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1512)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1522)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1531)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1545)), {C=0.0006965174129353233, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(1547)), {C=0.0004975124378109452, S=0.00048633401420095323}
