(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(5)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(615)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(620)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(623)), {C=0.0009296148738379814, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(642)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(648)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(664)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(669)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(671)), {C=0.001062416998671979, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(683)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(712)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(746)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(765)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(775)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(794)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(818)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(837)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(847)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(848)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(849)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(854)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(855)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(868)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(887)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(904)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(909)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(920)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(923)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(929)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(945)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(947)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(956)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(962)), {C=0.0009296148738379814, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(970)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(979)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(986)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(988)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(991)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(997)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1025)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1029)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1031)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1039)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1043)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1044)), {C=0.0009296148738379814, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1054)), {C=0.0009296148738379814, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1070)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1082)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1086)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1089)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1094)), {C=0.0009296148738379814, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1110)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1132)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1164)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1192)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1193)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1207)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1213)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1221)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1224)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1232)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1250)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1251)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1253)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1280)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1296)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1297)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1311)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1319)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1320)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1341)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1343)), {C=0.0009296148738379814, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1347)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1351)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1370)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1378)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1440)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1441)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1452)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1453)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1470)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1487)), {C=0.001062416998671979, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1496)), {C=0.0009296148738379814, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1513)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1527)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1528)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1532)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1538)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1546)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1550)), {C=0.0006640106241699868, S=0.00048633401420095323}
