(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(3)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(137)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(142)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(147)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(152)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(155)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(160)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(162)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(163)), {C=0.0010715242432360033, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(165)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(167)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(168)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(172)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(179)), {C=0.0010715242432360033, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(183)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(186)), {C=0.0013394053040450041, S=0.0009726680284019065}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(191)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(195)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(196)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(206)), {C=0.0013394053040450041, S=0.0009726680284019065}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(211)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(217)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(223)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(227)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(229)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(230)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(231)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(234)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(239)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(248)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(250)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(251)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(252)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(254)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(260)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(261)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(263)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(264)), {C=0.0010715242432360033, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(268)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(269)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(270)), {C=0.0010715242432360033, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(271)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(278)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(283)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(284)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(294)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(298)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(300)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(302)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(303)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(304)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(309)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(311)), {C=0.0010715242432360033, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(313)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(315)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(316)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(317)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(318)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(321)), {C=0.0013394053040450041, S=0.0009726680284019065}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(322)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(323)), {C=0.0012054647736405037, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(326)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(331)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(336)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(338)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(339)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(343)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(344)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(345)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(348)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(349)), {C=0.0012054647736405037, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(356)), {C=0.0012054647736405037, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(358)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(362)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(363)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(367)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(368)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(369)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(371)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(373)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(376)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(377)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(378)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(382)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(384)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(386)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(390)), {C=0.0010715242432360033, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(393)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(394)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(400)), {C=0.0010715242432360033, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(405)), {C=0.0010715242432360033, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(406)), {C=0.0010715242432360033, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(409)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(413)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(415)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(416)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(418)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(419)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(421)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(426)), {C=0.0010715242432360033, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(428)), {C=0.0010715242432360033, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(431)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(432)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(434)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(436)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(438)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(440)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(441)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(442)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(446)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(448)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(450)), {C=0.0012054647736405037, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(453)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(454)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(455)), {C=0.0014733458344495045, S=0.001069934831242097}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(456)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(457)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(458)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(460)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(463)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(466)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(467)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(468)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(469)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(472)), {C=0.0010715242432360033, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(473)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(475)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(477)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(481)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(485)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(486)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(490)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(492)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(494)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(495)), {C=0.0013394053040450041, S=0.0009726680284019065}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(496)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(498)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(502)), {C=0.0010715242432360033, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(503)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(504)), {C=0.0010715242432360033, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(506)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(508)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(510)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(511)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(514)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(517)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(518)), {C=0.0012054647736405037, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(519)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(520)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(521)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(522)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(523)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(524)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(525)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(527)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(528)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(531)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(537)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(539)), {C=0.0010715242432360033, S=0.0007781344227215252}
