(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(66)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1356)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1413)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1419)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(66)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(194)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(358)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(389)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(412)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(415)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(482)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(570)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(592)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(598)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(681)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(706)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1208)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1340)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1356)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1413)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1419)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(66)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(194)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(358)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(389)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(412)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(415)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(482)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(570)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(592)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(598)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(681)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(706)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1208)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1340)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1356)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1413)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1419)), {C=0.0005027652086475616, S=0.00048633401420095323}
