(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(17)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(573)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(604)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(610)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(629)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(642)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(645)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(648)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(673)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(676)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(683)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(814)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(834)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(840)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(860)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(869)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(879)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(891)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(896)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(897)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(905)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(926)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(976)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(983)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1012)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1018)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1037)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1055)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1063)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1079)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1092)), {C=0.0008462026655383965, S=0.0007781344227215252}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1138)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1149)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1165)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1172)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1190)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1192)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1211)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1218)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1239)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1259)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1261)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1266)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1280)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1328)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1332)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1421)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1438)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1456)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1467)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1485)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1488)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1511)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1520)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1538)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(17)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(29)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(73)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(82)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(96)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(109)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(174)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(180)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(232)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(233)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(254)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(255)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(289)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(292)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(317)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(334)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(340)), {C=0.000951977998730696, S=0.0008754012255617158}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(371)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(375)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(393)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(406)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(412)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(421)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(442)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(443)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(473)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(478)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(481)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(483)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(537)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(546)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(559)), {C=0.0008462026655383965, S=0.0007781344227215252}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(568)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(573)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(604)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(610)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(629)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(642)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(645)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(648)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(673)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(676)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(683)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(814)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(834)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(840)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(860)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(869)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(879)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(891)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(896)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(897)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(905)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(926)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(976)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(983)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1012)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1018)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1037)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1055)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1063)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1079)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1092)), {C=0.0008462026655383965, S=0.0007781344227215252}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1138)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1149)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1165)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1172)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1190)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1192)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1211)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1218)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1239)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1259)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1261)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1266)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1280)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1328)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1332)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1421)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1438)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1456)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1467)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1485)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1488)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1511)), {C=0.0005288766659614978, S=0.00048633401420095323}
