(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(6)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(241)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(244)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(252)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(254)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(255)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(260)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(264)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(265)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(266)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(267)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(271)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(273)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(275)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(276)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(277)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(282)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(286)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(290)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(291)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(297)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(299)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(302)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(303)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(304)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(307)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(309)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(310)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(311)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(314)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(315)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(317)), {C=0.0012174089479557674, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(319)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(320)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(321)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(322)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(324)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(325)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(328)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(332)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(334)), {C=0.0010145074566298062, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(336)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(337)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(340)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(341)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(343)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(353)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(355)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(358)), {C=0.0012174089479557674, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(360)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(365)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(366)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(368)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(370)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(372)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(373)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(374)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(376)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(378)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(379)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(380)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(381)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(382)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(383)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(384)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(385)), {C=0.0010145074566298062, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(387)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(388)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(389)), {C=0.0013188596936187483, S=0.0012644684369224784}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(390)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(392)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(393)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(394)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(396)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(397)), {C=0.001115958202292787, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(399)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(400)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(402)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(403)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(406)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(407)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(408)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(410)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(411)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(412)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(413)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(414)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(415)), {C=0.0012174089479557674, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(417)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(422)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(424)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(426)), {C=0.0012174089479557674, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(427)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(428)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(432)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(434)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(435)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(436)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(437)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(438)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(444)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(447)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(448)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(451)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(452)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(453)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(454)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(455)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(457)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(460)), {C=0.0005072537283149031, S=0.00048633401420095323}
