(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(3)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(96)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(113)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(124)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(126)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(132)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(143)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(149)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(152)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(158)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(162)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(166)), {C=0.0008276432857438445, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(173)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(174)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(187)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(188)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(191)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(195)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(203)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(216)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(218)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(220)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(222)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(233)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(234)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(243)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(246)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(249)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(251)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(252)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(255)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(256)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(260)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(269)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(276)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(277)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(284)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(289)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(299)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(302)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(317)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(320)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(323)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(326)), {C=0.0008276432857438445, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(332)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(337)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(338)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(340)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(345)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(347)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(348)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(350)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(358)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(360)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(362)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(364)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(368)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(376)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(378)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(382)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(383)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(385)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(390)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(398)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(406)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(407)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(411)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(414)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(416)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(417)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(425)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(427)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(431)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(433)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(436)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(441)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(442)), {C=0.0008276432857438445, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(445)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(447)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(452)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(455)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(456)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(460)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(463)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(466)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(468)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(475)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(477)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(479)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(480)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(481)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(484)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(488)), {C=0.0009310986964618251, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(490)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(492)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(494)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(495)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(497)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(501)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(507)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(520)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(521)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(529)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(548)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(557)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(564)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(570)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(572)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(573)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(575)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(581)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(583)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(587)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(604)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(609)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(621)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(626)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(635)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(636)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(651)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(652)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(666)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(668)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(684)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(692)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(696)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(708)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(718)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(721)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(723)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(725)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(726)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(728)), {C=0.0008276432857438445, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(731)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(759)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(768)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(769)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(770)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(773)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(787)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(791)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(796)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(808)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(812)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(813)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(814)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(822)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(825)), {C=0.0011380095178977862, S=0.001069934831242097}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(826)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(827)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(843)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(847)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(850)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(852)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(861)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(862)), {C=0.0008276432857438445, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(868)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(870)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(873)), {C=0.0009310986964618251, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(883)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(885)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(890)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(892)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(894)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(900)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(901)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(902)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(903)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(907)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(908)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(909)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(911)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(912)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(916)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(918)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(924)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(928)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(930)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(937)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(943)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(951)), {C=0.0009310986964618251, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(952)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(953)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(964)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(965)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(968)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(972)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(974)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(980)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1002)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1003)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1012)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1017)), {C=0.0005172770535899028, S=0.00048633401420095323}
