(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(7)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(132)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(133)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(139)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(143)), {C=0.0008259343382201115, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(168)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(169)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(179)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(184)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(192)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(201)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(202)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(203)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(206)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(213)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(214)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(216)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(234)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(244)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(245)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(250)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(251)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(253)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(259)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(263)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(268)), {C=0.0009291761304976254, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(270)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(272)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(274)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(276)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(280)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(282)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(287)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(297)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(304)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(312)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(318)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(320)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(321)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(331)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(336)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(338)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(349)), {C=0.0008259343382201115, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(350)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(360)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(361)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(363)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(375)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(379)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(381)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(382)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(387)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(388)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(397)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(404)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(406)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(407)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(409)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(410)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(411)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(412)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(413)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(414)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(415)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(416)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(417)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(419)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(421)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(422)), {C=0.0011356597150526534, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(436)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(437)), {C=0.0010324179227751394, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(438)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(444)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(446)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(447)), {C=0.0009291761304976254, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(456)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(458)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(461)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(467)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(470)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(471)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(482)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(486)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(487)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(489)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(492)), {C=0.0008259343382201115, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(493)), {C=0.0008259343382201115, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(498)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(499)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(505)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(508)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(515)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(518)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(519)), {C=0.0011356597150526534, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(522)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(524)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(535)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(536)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(537)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(542)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(543)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(546)), {C=0.0008259343382201115, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(549)), {C=0.0008259343382201115, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(551)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(553)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(554)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(556)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(558)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(559)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(563)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(570)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(572)), {C=0.0008259343382201115, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(574)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(584)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(587)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(589)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(597)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(603)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(610)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(614)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(615)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(617)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(623)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(627)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(629)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(630)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(634)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(642)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(650)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(651)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(653)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(656)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(662)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(671)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(675)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(676)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(686)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(688)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(689)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(719)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(725)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(743)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(748)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(749)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(751)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(753)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(755)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(765)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(770)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(771)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(780)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(787)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(797)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(803)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(804)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(805)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(809)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(814)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(821)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(826)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(827)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(830)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(831)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(841)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(844)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(845)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(849)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(851)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(857)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(860)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(862)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(875)), {C=0.0009291761304976254, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(878)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(883)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(884)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(887)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(889)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(896)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(897)), {C=0.0008259343382201115, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(898)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(901)), {C=0.0009291761304976254, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(910)), {C=0.0008259343382201115, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(913)), {C=0.0006194507536650836, S=0.0005836008170411438}
