(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(2)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(46)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(47)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(48)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(50)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(51)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(52)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(53)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(54)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(60)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(61)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(63)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(64)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(65)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(69)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(70)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(71)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(73)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(75)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(78)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(81)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(86)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(89)), {C=0.0010136847440446021, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(91)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(94)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(95)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(100)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(102)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(103)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(104)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(106)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(109)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(111)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(112)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(114)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(116)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(117)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(118)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(119)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(121)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(126)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(127)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(131)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(133)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(137)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(138)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(139)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(141)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(142)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(146)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(147)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(148)), {C=0.0011150532184490624, S=0.001069934831242097}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(155)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(156)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(160)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(162)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(163)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(164)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(170)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(176)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(177)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(178)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(180)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(183)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(186)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(187)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(190)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(192)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(193)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(195)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(196)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(199)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(200)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(205)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(206)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(210)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(211)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(214)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(218)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(222)), {C=0.0010136847440446021, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(224)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(226)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(227)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(228)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(231)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(232)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(233)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(238)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(239)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(242)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(243)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(244)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(245)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(248)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(249)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(250)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(251)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(253)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(255)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(256)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(258)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(260)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(261)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(265)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(266)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(271)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(274)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(275)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(277)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(279)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(287)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(288)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(290)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(295)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(296)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(297)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(299)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(300)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(301)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(304)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(306)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(307)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(308)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(309)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(310)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(311)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(312)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(313)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(314)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(315)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(316)), {C=0.0010136847440446021, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(318)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(324)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(327)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(328)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(329)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(330)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(334)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(335)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(336)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(337)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(340)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(341)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(342)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(343)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(346)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(348)), {C=0.0010136847440446021, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(351)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(353)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(354)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(355)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(358)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(360)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(361)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(362)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(364)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(365)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(366)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(367)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(369)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(370)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(371)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(373)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(374)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(375)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(378)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(384)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(385)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(386)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(393)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(394)), {C=0.0011150532184490624, S=0.001069934831242097}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(400)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(403)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(404)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(405)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(408)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(410)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(411)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(413)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(414)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(417)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(420)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(423)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(426)), {C=0.0012164216928535225, S=0.0011672016340822876}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(427)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(431)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(433)), {C=0.0006082108464267612, S=0.0005836008170411438}
