(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(8)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(684)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(758)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(778)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(807)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(838)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(854)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(900)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(904)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(909)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(915)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(922)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(926)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(937)), {C=0.0010069044879171462, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(938)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(945)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(950)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(952)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(953)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(960)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1002)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1020)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1029)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1036)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1037)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1048)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1053)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1087)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1100)), {C=0.0011507479861910244, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1107)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1118)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1119)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1124)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1144)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1150)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1162)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1203)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1204)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1226)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1265)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1275)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1285)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1287)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1305)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1334)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1344)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1354)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1357)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1368)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1377)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1382)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1409)), {C=0.0010069044879171462, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1412)), {C=0.0010069044879171462, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1420)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1421)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1424)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1431)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1435)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1440)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1443)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1466)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1482)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1483)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1495)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1531)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1543)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1546)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(1550)), {C=0.0007192174913693901, S=0.00048633401420095323}
