(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(33)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(930)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(939)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(943)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(949)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(956)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(959)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(962)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(967)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(970)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(979)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(984)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(990)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1003)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1029)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1044)), {C=0.0008261536645816121, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1050)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1062)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1078)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1090)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1109)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1110)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1113)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1117)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1123)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1141)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1162)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1164)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1187)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1192)), {C=0.0008261536645816121, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1199)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1200)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1216)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1218)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1220)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1251)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1275)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1290)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1292)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1297)), {C=0.0008261536645816121, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1300)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1325)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1335)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1347)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1351)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1352)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1370)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1388)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1389)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1393)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1399)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1409)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1420)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1434)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1438)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1453)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1455)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1471)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1480)), {C=0.0008261536645816121, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1485)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1487)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1490)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1491)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1519)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1538)), {C=0.0008261536645816121, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(1548)), {C=0.0005901097604154373, S=0.00048633401420095323}
