(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(17)), {C=0.0005903187721369539, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(411)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(419)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(442)), {C=0.0006887052341597795, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(446)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(466)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(481)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(520)), {C=0.0005903187721369539, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(527)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(528)), {C=0.0006887052341597795, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.0005903187721369539, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(610)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(648)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(673)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(691)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(696)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(714)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(767)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(837)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(869)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(895)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(945)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(960)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(991)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1088)), {C=0.0005903187721369539, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1092)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1124)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1126)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1172)), {C=0.0007870916961826053, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1232)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1359)), {C=0.0005903187721369539, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1379)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1435)), {C=0.0005903187721369539, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1472)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1509)), {C=0.0005903187721369539, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1513)), {C=0.0004919323101141283, S=0.00048633401420095323}
