(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(96)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(476)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(490)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(516)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(624)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(730)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(913)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(968)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(990)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(999)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1002)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1018)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1165)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1176)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1210)), {C=0.0005915409642117716, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1247)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1387)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1448)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1519)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1526)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1533)), {C=0.0005915409642117716, S=0.0005836008170411438}
