(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(54)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(579)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(589)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(597)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(598)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(615)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(622)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(628)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(638)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(748)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(765)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(784)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(873)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(892)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(898)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(926)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(958)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(965)), {C=0.0008115236356258876, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(970)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(980)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(983)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(987)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(996)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1005)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1012)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1032)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1041)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1124)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1156)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1171)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1194)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1216)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1219)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1263)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1275)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1290)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1340)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1343)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1398)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1411)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1413)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1441)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1468)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1473)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1478)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1489)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1536)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1538)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1553)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1558)), {C=0.0005072022722661798, S=0.00048633401420095323}
