(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(56)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1357)), {C=0.0007278020378457059, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(56)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(212)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(368)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(424)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(456)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(463)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(660)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(681)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(725)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(778)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(785)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(872)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(954)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(969)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1063)), {C=0.0006238303181534621, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1357)), {C=0.0007278020378457059, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(56)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(212)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(368)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(424)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(456)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(463)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(660)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(681)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(725)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(778)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(785)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(872)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(954)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(969)), {C=0.0005198585984612185, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1063)), {C=0.0006238303181534621, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1357)), {C=0.0007278020378457059, S=0.0006808676198813345}
