(education(Partial College))(marital_status(S)) --> (buy(17)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(601)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(607)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(610)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(613)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(615)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(634)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(645)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(660)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(691)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(696)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(716)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(725)), {C=0.0012424565140220093, S=0.0006808676198813345}
(education(Partial College))(marital_status(S)) --> (buy(747)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(752)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(761)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(778)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(807)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(811)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(821)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(829)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(833)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(848)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(849)), {C=0.0012424565140220093, S=0.0006808676198813345}
(education(Partial College))(marital_status(S)) --> (buy(852)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(879)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(880)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(901)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(914)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(921)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(931)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(943)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(947)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(961)), {C=0.0012424565140220093, S=0.0006808676198813345}
(education(Partial College))(marital_status(S)) --> (buy(969)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(972)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1036)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1046)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(1057)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1063)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1069)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1085)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1124)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1134)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1144)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(1148)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1152)), {C=0.0012424565140220093, S=0.0006808676198813345}
(education(Partial College))(marital_status(S)) --> (buy(1174)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1208)), {C=0.0012424565140220093, S=0.0006808676198813345}
(education(Partial College))(marital_status(S)) --> (buy(1216)), {C=0.0012424565140220093, S=0.0006808676198813345}
(education(Partial College))(marital_status(S)) --> (buy(1217)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(1223)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1283)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1292)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1297)), {C=0.0014199503017394393, S=0.0007781344227215252}
(education(Partial College))(marital_status(S)) --> (buy(1298)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(1310)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(1311)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1320)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1348)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1353)), {C=0.0014199503017394393, S=0.0007781344227215252}
(education(Partial College))(marital_status(S)) --> (buy(1361)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(1365)), {C=0.0012424565140220093, S=0.0006808676198813345}
(education(Partial College))(marital_status(S)) --> (buy(1368)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1378)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1380)), {C=0.0012424565140220093, S=0.0006808676198813345}
(education(Partial College))(marital_status(S)) --> (buy(1387)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1390)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1421)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(1422)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1429)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(1437)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1443)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1446)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(1447)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1464)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(1473)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1476)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1492)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1495)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1500)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1501)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1523)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(1528)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1529)), {C=0.0014199503017394393, S=0.0007781344227215252}
(education(Partial College))(marital_status(S)) --> (buy(1532)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1534)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(1554)), {C=0.0008874689385871495, S=0.00048633401420095323}
