(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(12)), {C=0.0007133394476714562, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(445)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(449)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(463)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(486)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(491)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(515)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(518)), {C=0.0007133394476714562, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(521)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(522)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(535)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(549)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(552)), {C=0.000815245083053093, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(570)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(573)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(578)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(588)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(605)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(612)), {C=0.0007133394476714562, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(623)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(628)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(633)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(646)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(659)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(674)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(677)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(710)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(721)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(725)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(728)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(760)), {C=0.0007133394476714562, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(770)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(772)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(778)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(787)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(808)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(813)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(822)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(826)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(827)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(834)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(868)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(893)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(895)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(903)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(905)), {C=0.000815245083053093, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(915)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(928)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(934)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(951)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(957)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(960)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(969)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(984)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1005)), {C=0.0007133394476714562, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1018)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1036)), {C=0.000815245083053093, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1037)), {C=0.0007133394476714562, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1039)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1046)), {C=0.0007133394476714562, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1060)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1086)), {C=0.0007133394476714562, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1093)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1101)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1104)), {C=0.0007133394476714562, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1126)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1128)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1134)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1148)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1155)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1164)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1172)), {C=0.0007133394476714562, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1175)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1185)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1190)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1198)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1203)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1243)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1245)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1247)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1265)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1289)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1308)), {C=0.000815245083053093, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1341)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1362)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1364)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1377)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1381)), {C=0.0009171507184347295, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1383)), {C=0.0007133394476714562, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1389)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1391)), {C=0.0007133394476714562, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1392)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1401)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1410)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1414)), {C=0.0007133394476714562, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1424)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1452)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1454)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1488)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1498)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1517)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1525)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(1536)), {C=0.0006114338122898196, S=0.0005836008170411438}
