(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(127)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(128)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(129)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(132)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(136)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(137)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(138)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(139)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(145)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(148)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(158)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(160)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(161)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(165)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(172)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(174)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(175)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(177)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(178)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(181)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(183)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(186)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(190)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(195)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(201)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(212)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(213)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(218)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(220)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(221)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(222)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(223)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(229)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(233)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(238)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(251)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(259)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(266)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(267)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(268)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(271)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(274)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(275)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(278)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(279)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(285)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(287)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(293)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(298)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(301)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(307)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(310)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(312)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(318)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(330)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(337)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(345)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(349)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(353)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(354)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(358)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(359)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(362)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(364)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(365)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(366)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(370)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(372)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(374)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(375)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(376)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(384)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(389)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(390)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(394)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(402)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(404)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(407)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(410)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(412)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(413)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(414)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(417)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(419)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(421)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(425)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(435)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(439)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(441)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(443)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(447)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(448)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(449)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(453)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(455)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(458)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(461)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(462)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(464)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(465)), {C=0.0011978438810141745, S=0.0011672016340822876}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(467)), {C=0.000898382910760631, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(468)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(477)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(479)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(481)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(483)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(484)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(488)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(490)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(493)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(494)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(496)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(497)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(498)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(503)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(504)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(511)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(517)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(521)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(524)), {C=0.0009982032341784787, S=0.0009726680284019065}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(526)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(527)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(533)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(534)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(535)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(536)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(537)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(538)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(541)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(544)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(548)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(563)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(573)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(574)), {C=0.000898382910760631, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(575)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(581)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(592)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(595)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(599)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(600)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(601)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(603)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(609)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(612)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(613)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(615)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(618)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(622)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(624)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(634)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(636)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(637)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(640)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(642)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(644)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(645)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(646)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(656)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(660)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(664)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(667)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(668)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(669)), {C=0.0004991016170892394, S=0.00048633401420095323}
