(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(60)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1058)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1069)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1171)), {C=0.0008038585209003215, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1172)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1182)), {C=0.0007033762057877813, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1185)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1219)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1228)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1242)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1248)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1284)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1343)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1362)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1368)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1391)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1404)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1405)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1421)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1441)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1468)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1479)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1480)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1538)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1553)), {C=0.0005024115755627009, S=0.00048633401420095323}
