(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(7)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(138)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(139)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(147)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(157)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(163)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(164)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(166)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(176)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(178)), {C=0.002119642016015073, S=0.0008754012255617158}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(179)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(206)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(211)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(216)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(250)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(257)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(269)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(271)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(282)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(289)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(306)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(315)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(316)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(322)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(326)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(328)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(332)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(339)), {C=0.0018841262364578427, S=0.0007781344227215252}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(342)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(345)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(349)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(353)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(364)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(369)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(370)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(371)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(376)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(378)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(382)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(384)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(390)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(395)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(397)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(399)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(402)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(403)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(404)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(410)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(411)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(414)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(416)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(424)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(426)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(427)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(428)), {C=0.0018841262364578427, S=0.0007781344227215252}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(430)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(432)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(433)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(440)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(442)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(443)), {C=0.0018841262364578427, S=0.0007781344227215252}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(446)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(450)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(455)), {C=0.0018841262364578427, S=0.0007781344227215252}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(463)), {C=0.0018841262364578427, S=0.0007781344227215252}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(466)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(473)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(482)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(489)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(495)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(505)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(507)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(514)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(520)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(522)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(523)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(525)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(530)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(532)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(535)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(544)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(546)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(569)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(576)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(577)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(581)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(584)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(586)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(588)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(593)), {C=0.0018841262364578427, S=0.0007781344227215252}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(594)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(599)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(609)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(610)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(614)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(615)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(617)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(620)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(621)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(622)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(628)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(639)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(656)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(662)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(671)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(675)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(679)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(689)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(691)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(692)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(694)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(698)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(701)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(709)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(710)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(723)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(729)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(731)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(733)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(742)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(746)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(748)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(749)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(769)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(773)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(776)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(777)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(784)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(788)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(789)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(793)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(796)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(800)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(802)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(806)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(808)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(813)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(819)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(820)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(823)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(826)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(836)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(838)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(841)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(843)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(847)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(849)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(850)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(855)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(860)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(863)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(865)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(871)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(876)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(882)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(885)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(886)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(887)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(889)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(891)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(893)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(896)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(897)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(898)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(903)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(904)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(905)), {C=0.0018841262364578427, S=0.0007781344227215252}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(908)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(909)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(911)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(914)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(919)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(920)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(927)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(930)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(931)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(933)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(934)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(938)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(939)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(943)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(948)), {C=0.0018841262364578427, S=0.0007781344227215252}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(952)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(956)), {C=0.002119642016015073, S=0.0008754012255617158}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(958)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(960)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(964)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(965)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(970)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(974)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(975)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(979)), {C=0.002119642016015073, S=0.0008754012255617158}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(988)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(996)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1000)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1002)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1003)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1020)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1021)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1025)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1033)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1036)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1037)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1039)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1041)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1048)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1055)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1064)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1065)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1074)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1078)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1079)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1083)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1091)), {C=0.0018841262364578427, S=0.0007781344227215252}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1096)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1104)), {C=0.0011775788977861517, S=0.00048633401420095323}
