(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(41)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(451)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(455)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(460)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(465)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(475)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(480)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(482)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(484)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(493)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(501)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(505)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(512)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(529)), {C=0.0008535154166222128, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(539)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(541)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(549)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(551)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(564)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(568)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(577)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(581)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(587)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(601)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(608)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(620)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(627)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(629)), {C=0.0008535154166222128, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(636)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(648)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(654)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(660)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(668)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(672)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(675)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(676)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(684)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(692)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(693)), {C=0.0008535154166222128, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(696)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(700)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(708)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(726)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(733)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(735)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(761)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(764)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(774)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(777)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(784)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(792)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(794)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(801)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(803)), {C=0.0008535154166222128, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(804)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(806)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(821)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(831)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(832)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(834)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(839)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(840)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(844)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(850)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(868)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(875)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(880)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(882)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(883)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(890)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(896)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(897)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(905)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(909)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(910)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(915)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(916)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(918)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(920)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(926)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(931)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(934)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(945)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(948)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(952)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(953)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(960)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(969)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(974)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(975)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(976)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(990)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(994)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(995)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1002)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1011)), {C=0.0008535154166222128, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1018)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1024)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1028)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1040)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1045)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1048)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1063)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1089)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1105)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1106)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1107)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1122)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1123)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1140)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1153)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1161)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1162)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1165)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1177)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1182)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1183)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1184)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1193)), {C=0.0008535154166222128, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1197)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1200)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1211)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1222)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1226)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1229)), {C=0.0006401365624666594, S=0.0005836008170411438}
