(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(103)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(107)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(109)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(110)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(111)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(115)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(118)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(119)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(123)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(126)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(127)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(132)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(133)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(138)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(140)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(141)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(143)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(146)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(147)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(151)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(164)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(166)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(168)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(169)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(171)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(179)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(183)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(187)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(195)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(198)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(201)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(202)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(205)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(212)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(214)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(216)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(219)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(221)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(223)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(226)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(230)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(231)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(234)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(238)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(246)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(254)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(255)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(258)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(259)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(261)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(271)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(274)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(276)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(281)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(283)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(284)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(288)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(292)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(299)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(304)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(309)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(311)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(312)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(318)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(319)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(322)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(327)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(328)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(333)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(337)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(344)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(345)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(347)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(349)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(350)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(351)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(354)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(355)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(359)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(360)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(362)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(369)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(379)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(381)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(382)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(383)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(384)), {C=0.0009555154474997346, S=0.0008754012255617158}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(386)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(388)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(389)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(390)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(394)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(398)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(400)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(402)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(403)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(405)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(409)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(411)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(413)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(414)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(417)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(423)), {C=0.0010616838305552607, S=0.0009726680284019065}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(425)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(426)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(428)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(429)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(430)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(431)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(432)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(433)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(437)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(438)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(441)), {C=0.0009555154474997346, S=0.0008754012255617158}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(442)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(445)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(452)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(454)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(455)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(461)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(462)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(463)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(464)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(466)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(469)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(471)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(477)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(482)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(484)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(485)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(486)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(487)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(488)), {C=0.0012740205966663128, S=0.0011672016340822876}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(489)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(491)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(492)), {C=0.0010616838305552607, S=0.0009726680284019065}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(498)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(499)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(501)), {C=0.0011678522136107867, S=0.001069934831242097}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(505)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(510)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(515)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(516)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(518)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(521)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(525)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(528)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(529)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(532)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(535)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(536)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(540)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(541)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(542)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(549)), {C=0.0011678522136107867, S=0.001069934831242097}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(550)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(551)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(552)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(557)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(558)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(563)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(566)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(568)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(572)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(573)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(576)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(578)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(579)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(580)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(581)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(582)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(583)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(586)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(588)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(591)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(602)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(604)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(605)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(611)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(612)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(617)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(622)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(623)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(627)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(631)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(632)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(633)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(636)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(641)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(645)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(646)), {C=0.0009555154474997346, S=0.0008754012255617158}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(648)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(649)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(651)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(653)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(656)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(659)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(660)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(666)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(670)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(671)), {C=0.0008493470644442086, S=0.0007781344227215252}
