(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(7)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(411)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(415)), {C=0.0007137758743754461, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(426)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(428)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(469)), {C=0.000611807892321811, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(477)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(502)), {C=0.000611807892321811, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(513)), {C=0.000611807892321811, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(544)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(549)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(556)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(570)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(573)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(601)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(725)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(762)), {C=0.000611807892321811, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(820)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(853)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(856)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(898)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(899)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(968)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1012)), {C=0.000611807892321811, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1055)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1090)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1117)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1162)), {C=0.000611807892321811, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1215)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1243)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1249)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1317)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1338)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1353)), {C=0.0007137758743754461, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1369)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1394)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1411)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1421)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1460)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1465)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1514)), {C=0.0005098399102681758, S=0.00048633401420095323}
