(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(17)), {C=0.0007561845090202009, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(466)), {C=0.0007561845090202009, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(472)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(477)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(481)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(482)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(500)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(510)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(512)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(517)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(520)), {C=0.0007561845090202009, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(522)), {C=0.0007561845090202009, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(524)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(527)), {C=0.0008642108674516583, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(528)), {C=0.0008642108674516583, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(537)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(543)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.0007561845090202009, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(568)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(569)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(572)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(576)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(578)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(587)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(595)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(605)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(610)), {C=0.0009722372258831155, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(614)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(615)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(648)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(654)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(673)), {C=0.0008642108674516583, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(677)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(679)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(683)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(691)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(693)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(696)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(706)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(714)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(767)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(771)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(778)), {C=0.0007561845090202009, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(789)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(808)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(815)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(837)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(848)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(860)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(869)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(871)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(876)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(879)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(883)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(885)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(888)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(891)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(892)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(895)), {C=0.0007561845090202009, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(900)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(908)), {C=0.0007561845090202009, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(909)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(915)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(923)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(927)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(928)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(938)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(942)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(945)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(948)), {C=0.0009722372258831155, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(952)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(953)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(955)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(960)), {C=0.0008642108674516583, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(964)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(972)), {C=0.0007561845090202009, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(975)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(991)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(992)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(999)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1021)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1029)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1032)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1041)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1050)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1054)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1055)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1077)), {C=0.0007561845090202009, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1082)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1086)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1088)), {C=0.0009722372258831155, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1092)), {C=0.0008642108674516583, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1124)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1126)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1145)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1147)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1171)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1172)), {C=0.0008642108674516583, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1176)), {C=0.0007561845090202009, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1182)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1193)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1198)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1199)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1211)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1213)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1221)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1224)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1232)), {C=0.0008642108674516583, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1251)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1256)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1265)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1280)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1286)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1297)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1298)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1312)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1313)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1319)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1329)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1342)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1351)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1354)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1359)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1367)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1376)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1377)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1379)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1386)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1409)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1418)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1419)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1421)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1434)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1435)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1441)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1453)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1472)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1487)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1491)), {C=0.0005401317921572864, S=0.00048633401420095323}
