(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(41)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(886)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(952)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1019)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1044)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1096)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1109)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1121)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1133)), {C=0.0006769716800180526, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1235)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1239)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1270)), {C=0.0006769716800180526, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1287)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1291)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1311)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1350)), {C=0.0007898002933543947, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1369)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1378)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1403)), {C=0.0006769716800180526, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1407)), {C=0.0006769716800180526, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1409)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1479)), {C=0.0006769716800180526, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1490)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1503)), {C=0.0009026289066907369, S=0.0007781344227215252}
