(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(11)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(334)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(336)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(337)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(341)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(343)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(353)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(358)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(383)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(385)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(388)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(389)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(394)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(397)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(400)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(403)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(406)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(410)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(412)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(414)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(415)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(417)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(448)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(469)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(481)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(482)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(484)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(487)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(489)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(510)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(522)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(526)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(541)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(543)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(549)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(557)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(566)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(568)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(570)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(574)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(575)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(583)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(586)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(587)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(590)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(598)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(611)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(627)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(634)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(637)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(659)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(664)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(665)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(666)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(681)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(686)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(687)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(692)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(693)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(696)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(707)), {C=0.0009696186166774402, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(718)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(725)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(731)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(732)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(736)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(739)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(748)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(752)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(775)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(783)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(798)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(803)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(812)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(814)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(819)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(820)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(830)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(831)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(833)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(848)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(850)), {C=0.0008618832148243914, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(853)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(858)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(859)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(864)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(879)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(880)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(881)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(887)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(896)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(897)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(898)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(909)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(912)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(915)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(928)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(929)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(934)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(940)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(947)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(953)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(956)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(963)), {C=0.0008618832148243914, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(969)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(975)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(979)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(987)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(990)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(991)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(993)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(997)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(998)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(999)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1004)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1008)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1015)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1018)), {C=0.0008618832148243914, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1019)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1023)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1036)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1048)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1053)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1069)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1073)), {C=0.0008618832148243914, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1075)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1078)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1086)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1089)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1092)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1097)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1102)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1106)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1121)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1123)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1136)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1149)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1150)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1165)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1166)), {C=0.0008618832148243914, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1169)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1170)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1173)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1179)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1180)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1192)), {C=0.0008618832148243914, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1196)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1198)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1206)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1208)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1218)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1219)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1223)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1225)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1227)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1228)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1248)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1251)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1261)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1268)), {C=0.0005386770092652446, S=0.00048633401420095323}
