(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(7)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(510)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(515)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(519)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(529)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(531)), {C=0.0009705596894208995, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(546)), {C=0.0007548797584384772, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(547)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(548)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(550)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(555)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(571)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(575)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(589)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(594)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(595)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(597)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(604)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(608)), {C=0.0007548797584384772, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(609)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(615)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(622)), {C=0.0007548797584384772, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(628)), {C=0.0008627197239296884, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(652)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(663)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(683)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(692)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(694)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(698)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(710)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(712)), {C=0.0008627197239296884, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(720)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(740)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(746)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(748)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(775)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(784)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(791)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(805)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(847)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(850)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(854)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(866)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(900)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(920)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(924)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(925)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(926)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(930)), {C=0.0007548797584384772, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(938)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(939)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(947)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(958)), {C=0.0007548797584384772, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(965)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(970)), {C=0.0008627197239296884, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(980)), {C=0.0007548797584384772, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(982)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(983)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(986)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(989)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(997)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1016)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1019)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1025)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1031)), {C=0.0007548797584384772, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1037)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1041)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1042)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1044)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1053)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1055)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1057)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1066)), {C=0.0007548797584384772, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1078)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1079)), {C=0.0008627197239296884, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1082)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1107)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1112)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1124)), {C=0.0008627197239296884, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1127)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1137)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1141)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1145)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1152)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1187)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1201)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1203)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1245)), {C=0.0007548797584384772, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1250)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1263)), {C=0.0007548797584384772, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1272)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1275)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1287)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1290)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1298)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1300)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1343)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1362)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1371)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1385)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1386)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1388)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1389)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1390)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1398)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1417)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1441)), {C=0.0007548797584384772, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1470)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1471)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1477)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1478)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1487)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1504)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1511)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1528)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1536)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1546)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1556)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1558)), {C=0.0005391998274560553, S=0.00048633401420095323}
