(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(952)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(974)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(992)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1034)), {C=0.0007105877575880621, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1057)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1085)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1149)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1206)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1243)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1275)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1283)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1339)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1373)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1386)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1388)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1393)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1427)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1443)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1449)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1456)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1460)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1518)), {C=0.000507562683991473, S=0.00048633401420095323}
