(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(24)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(419)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(421)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(428)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(430)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(440)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(456)), {C=0.0008996851102114261, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(471)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(480)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(490)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(501)), {C=0.0007872244714349977, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(522)), {C=0.0008996851102114261, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(545)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(550)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(588)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(589)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(634)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(644)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(657)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(683)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(689)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(723)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(747)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(773)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(777)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(813)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(817)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(849)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(856)), {C=0.0007872244714349977, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(866)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(882)), {C=0.0008996851102114261, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(905)), {C=0.0008996851102114261, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(906)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(922)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(930)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(954)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(970)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(998)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1000)), {C=0.0007872244714349977, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1009)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1038)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1043)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1044)), {C=0.0008996851102114261, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1047)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1104)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1117)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1133)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1145)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1146)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1150)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1152)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1160)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1171)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1177)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1188)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1193)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1211)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1229)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1243)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1249)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1254)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1283)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1305)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1311)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1323)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1326)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1327)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1344)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1358)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1376)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1384)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1389)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1394)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1405)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1410)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1436)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1439)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1444)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1447)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1466)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1471)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1487)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1526)), {C=0.0008996851102114261, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1527)), {C=0.0007872244714349977, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1528)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1538)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1555)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1558)), {C=0.0005623031938821414, S=0.00048633401420095323}
