(gender(Female))(member card(Silver)) --> (buy(9)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(492)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(521)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(522)), {C=0.0012544802867383513, S=0.0006808676198813345}
(gender(Female))(member card(Silver)) --> (buy(523)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(542)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(568)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(580)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(590)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(593)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(595)), {C=0.0012544802867383513, S=0.0006808676198813345}
(gender(Female))(member card(Silver)) --> (buy(603)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(605)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(614)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(625)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(626)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(640)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(664)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(668)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(692)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(696)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(761)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(809)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(810)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(836)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(837)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(848)), {C=0.0014336917562724016, S=0.0007781344227215252}
(gender(Female))(member card(Silver)) --> (buy(856)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(860)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(867)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(873)), {C=0.0012544802867383513, S=0.0006808676198813345}
(gender(Female))(member card(Silver)) --> (buy(876)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(879)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(883)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(887)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(889)), {C=0.0012544802867383513, S=0.0006808676198813345}
(gender(Female))(member card(Silver)) --> (buy(892)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(899)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(908)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(910)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(912)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(915)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(930)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(938)), {C=0.0012544802867383513, S=0.0006808676198813345}
(gender(Female))(member card(Silver)) --> (buy(948)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(951)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(953)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(972)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(977)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(988)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(1007)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1031)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(1043)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1055)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1071)), {C=0.001792114695340502, S=0.0009726680284019065}
(gender(Female))(member card(Silver)) --> (buy(1077)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1124)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1169)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(1171)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1190)), {C=0.0012544802867383513, S=0.0006808676198813345}
(gender(Female))(member card(Silver)) --> (buy(1217)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1219)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1229)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1233)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1240)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1251)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(1295)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1298)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1340)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(1362)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1363)), {C=0.0012544802867383513, S=0.0006808676198813345}
(gender(Female))(member card(Silver)) --> (buy(1364)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1384)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1387)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1403)), {C=0.0016129032258064518, S=0.0008754012255617158}
(gender(Female))(member card(Silver)) --> (buy(1407)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(1416)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(1452)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(1454)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1470)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1485)), {C=0.0012544802867383513, S=0.0006808676198813345}
(gender(Female))(member card(Silver)) --> (buy(1491)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1500)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1504)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1530)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(1549)), {C=0.000896057347670251, S=0.00048633401420095323}
