(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(16)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(289)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(292)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(302)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(310)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(313)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(328)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(334)), {C=0.0008998200359928015, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(335)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(336)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(343)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(344)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(356)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(357)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(361)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(370)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(371)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(372)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(373)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(381)), {C=0.0008998200359928015, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(388)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(390)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(391)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(392)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(394)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(396)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(404)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(407)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(410)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(414)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(418)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(424)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(428)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(437)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(441)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(442)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(446)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(447)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(448)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(449)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(451)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(454)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(456)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(459)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(460)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(463)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(476)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(477)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(478)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(480)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(485)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(489)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(490)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(498)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(499)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(507)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(511)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(516)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(521)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(535)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(539)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(540)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(541)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(543)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(546)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(547)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(549)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(559)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(566)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(568)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(569)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(571)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(577)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(580)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(584)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(590)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(594)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(597)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(600)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(606)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(607)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(621)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(623)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(624)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(627)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(632)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(634)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(635)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(643)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(644)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(647)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(651)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(652)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(655)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(656)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(660)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(670)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(677)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(680)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(681)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(691)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(693)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(699)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(725)), {C=0.0008998200359928015, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(730)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(731)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(737)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(738)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(758)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(759)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(760)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(763)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(764)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(766)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(767)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(792)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(795)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(799)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(804)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(807)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(810)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(813)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(815)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(822)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(836)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(837)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(838)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(839)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(840)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(852)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(854)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(857)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(862)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(871)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(872)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.0007998400319936014, S=0.0007781344227215252}
