(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(7)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(249)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(250)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(252)), {C=0.0009541984732824427, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(263)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(274)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(277)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(288)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(308)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(318)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(320)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(323)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(326)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(329)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(331)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(339)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(340)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(343)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(348)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(349)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(350)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(351)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(353)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(361)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(362)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(364)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(371)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(372)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(376)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(378)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(379)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(380)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(382)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(383)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(384)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(385)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(390)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(391)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(394)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(399)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(403)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(404)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(414)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(419)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(426)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(428)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(429)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(430)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(433)), {C=0.0009541984732824427, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(439)), {C=0.0010602205258693808, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(445)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(446)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(463)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(466)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(470)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(475)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(477)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(479)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(481)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(482)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(484)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(486)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(489)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(490)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(492)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(493)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(495)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(498)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(501)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(505)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(506)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(507)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(516)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(517)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(522)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(524)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(525)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(526)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(530)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(535)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(544)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(546)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(551)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(553)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(566)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(572)), {C=0.0010602205258693808, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(577)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(582)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(583)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(588)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(590)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(599)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(603)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(610)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(617)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(626)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(637)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(639)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(644)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(656)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(657)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(662)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(663)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(678)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(695)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(703)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(725)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(728)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(734)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(742)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(748)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(749)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(755)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(759)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(760)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(764)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(768)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(772)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(777)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(778)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(779)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(786)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(788)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(793)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(797)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(798)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(801)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(808)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(812)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(813)), {C=0.0009541984732824427, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(814)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(819)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(820)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(821)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(822)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(829)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(834)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(839)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(841)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(842)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(843)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(844)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(845)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(849)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(850)), {C=0.0005301102629346904, S=0.00048633401420095323}
