(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(2)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(85)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(90)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(97)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(98)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(100)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(108)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(111)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(118)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(121)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(122)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(125)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(126)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(129)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(132)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(137)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(138)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(145)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(146)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(151)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(154)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(160)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(161)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(164)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(174)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(178)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(180)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(181)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(192)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(214)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(221)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(222)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(225)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(228)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(229)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(231)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(232)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(233)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(241)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(244)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(248)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(254)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(267)), {C=0.0008922375334589076, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(276)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(278)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(282)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(287)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(292)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(295)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(296)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(297)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(307)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(309)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(315)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(317)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(318)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(325)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(330)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(331)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(335)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(337)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(340)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(348)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(350)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(352)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(354)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(355)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(357)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(358)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(359)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(364)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(366)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(368)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(370)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(371)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(372)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(374)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(376)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(384)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(385)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(387)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(389)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(397)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(402)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(404)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(406)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(407)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(408)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(410)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(413)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(414)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(415)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(420)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(421)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(422)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(423)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(426)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(429)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(435)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(443)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(450)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(451)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(452)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(453)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(455)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(460)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(464)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(465)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(467)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(473)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(475)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(479)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(481)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(482)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(484)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(485)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(488)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(493)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(494)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(496)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(501)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(505)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(511)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(512)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(524)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(529)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(533)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(537)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(541)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(542)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(544)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(549)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(552)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(558)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(564)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(567)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(568)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(570)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(571)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(573)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(574)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(577)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(587)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(595)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(599)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(600)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(601)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(612)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(620)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(621)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(622)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(629)), {C=0.0008922375334589076, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(636)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(640)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(642)), {C=0.0005948250223059383, S=0.0005836008170411438}
