(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(32)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(326)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(339)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(341)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(373)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(390)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(409)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(446)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(455)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(472)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(481)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(518)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(522)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(523)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(524)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(528)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(539)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(547)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(566)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(576)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(638)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(660)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(662)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(691)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(696)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(714)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(725)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(778)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(815)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(816)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(819)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(838)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(882)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(894)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(895)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(908)), {C=0.0006954793840039741, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(925)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(927)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(938)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(993)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1017)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1030)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1042)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1082)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1088)), {C=0.0006954793840039741, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1092)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1123)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1139)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1152)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1171)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1172)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1182)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1223)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1232)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1239)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1322)), {C=0.0006954793840039741, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1377)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1418)), {C=0.0006954793840039741, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1421)), {C=0.0006954793840039741, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1435)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1441)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1446)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1449)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1471)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1479)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1480)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1502)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1523)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1534)), {C=0.0004967709885742673, S=0.00048633401420095323}
