(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(13)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(292)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(308)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(312)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(322)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(328)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(332)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(341)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(347)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(349)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(351)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(360)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(362)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(363)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(366)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(371)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(372)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(378)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(379)), {C=0.0011031992779059272, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(380)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(383)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(384)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(386)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(389)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(391)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(394)), {C=0.0008023267475679471, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(396)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(398)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(400)), {C=0.0008023267475679471, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(405)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(413)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(414)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(417)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(425)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(426)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(428)), {C=0.0008023267475679471, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(431)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(432)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(433)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(434)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(439)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(441)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(443)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(445)), {C=0.0009026175910139405, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(446)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(456)), {C=0.0009026175910139405, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(462)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(465)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(466)), {C=0.0008023267475679471, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(471)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(472)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(480)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(483)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(484)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(489)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(497)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(500)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(501)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(503)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(505)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(516)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(517)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(522)), {C=0.0010029084344599338, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(523)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(528)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(532)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(534)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(535)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(543)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(545)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(549)), {C=0.0009026175910139405, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(550)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(552)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(556)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(562)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(563)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(566)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(567)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(570)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(572)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(576)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(582)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(588)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(589)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(590)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(594)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(605)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(606)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(607)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(618)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(623)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(625)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(629)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(632)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(633)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(637)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(642)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(643)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(644)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(646)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(654)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(657)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(658)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(659)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(663)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(665)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(666)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(670)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(671)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(677)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(683)), {C=0.0009026175910139405, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(685)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(689)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(691)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(697)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(707)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(708)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(710)), {C=0.0008023267475679471, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(712)), {C=0.0006017450606759602, S=0.0005836008170411438}
