(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(11)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(196)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(199)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(203)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(206)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(216)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(220)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(222)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(227)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(233)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(243)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(250)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(256)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(260)), {C=0.0007012622720897616, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(262)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(281)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(283)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(299)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(302)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(304)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(308)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(326)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(328)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(338)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(343)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(350)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(352)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(358)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(359)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(362)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(368)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(370)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(379)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(380)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(382)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(383)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(390)), {C=0.0008014425966740132, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(403)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(404)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(411)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(414)), {C=0.0009016229212582649, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(416)), {C=0.0007012622720897616, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(427)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(428)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(430)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(433)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(436)), {C=0.0010018032458425166, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(437)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(438)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(441)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(442)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(447)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(449)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(452)), {C=0.0007012622720897616, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(453)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(456)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(460)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(467)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(468)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(470)), {C=0.0007012622720897616, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(477)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(480)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(486)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(488)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(494)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(508)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(513)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(519)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(525)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(526)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(528)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(529)), {C=0.0007012622720897616, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(549)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(564)), {C=0.0007012622720897616, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(565)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(566)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(573)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(578)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(587)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(589)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(591)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(593)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(599)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(621)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(628)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(635)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(636)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(641)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(649)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(651)), {C=0.0007012622720897616, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(673)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(695)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(696)), {C=0.0007012622720897616, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(704)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(718)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(721)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(725)), {C=0.0008014425966740132, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(728)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(745)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(746)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(760)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(768)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(773)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(784)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(787)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(796)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(806)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(812)), {C=0.0008014425966740132, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(813)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(821)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(822)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(825)), {C=0.0008014425966740132, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(827)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(830)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(847)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(849)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(855)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(858)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(862)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(864)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(873)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(882)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(883)), {C=0.0008014425966740132, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(892)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(894)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(901)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(902)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(903)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(916)), {C=0.0007012622720897616, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(924)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(933)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(934)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(943)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(951)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(952)), {C=0.0007012622720897616, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(963)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(965)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(967)), {C=0.0007012622720897616, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(968)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(972)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(980)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(998)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1002)), {C=0.0009016229212582649, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1003)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1009)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1012)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1013)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1017)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1019)), {C=0.0005009016229212583, S=0.00048633401420095323}
