(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(2)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(64)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(67)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(68)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(74)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(82)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(83)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(84)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(85)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(86)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(96)), {C=0.0009221902017291068, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(98)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(107)), {C=0.0009221902017291068, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(108)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(112)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(119)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(120)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(121)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(122)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(126)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(130)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(131)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(132)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(133)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(134)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(137)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(138)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(139)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(152)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(153)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(155)), {C=0.0009221902017291068, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(158)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(163)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(170)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(173)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(180)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(181)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(184)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(185)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(188)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(190)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(192)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(198)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(201)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(204)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(205)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(210)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(212)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(214)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(216)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(227)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(228)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(229)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(231)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(232)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(234)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(237)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(238)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(241)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(243)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(244)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(245)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(246)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(248)), {C=0.0009221902017291068, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(254)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(255)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(258)), {C=0.0009221902017291068, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(259)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(262)), {C=0.001037463976945245, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(263)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(268)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(274)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(277)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(278)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(282)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(283)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(287)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(289)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(291)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(292)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(302)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.001037463976945245, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(310)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(315)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(318)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(320)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(328)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(331)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(334)), {C=0.0009221902017291068, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(335)), {C=0.0009221902017291068, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(339)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(343)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(352)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(357)), {C=0.0012680115273775217, S=0.001069934831242097}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(359)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(361)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(363)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(364)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(367)), {C=0.0009221902017291068, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(371)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(372)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(373)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(377)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(379)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(380)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(381)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(383)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(390)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(391)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(394)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(396)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(407)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(410)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(413)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(414)), {C=0.0009221902017291068, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(415)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(418)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(420)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(422)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(424)), {C=0.0009221902017291068, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(425)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(427)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(428)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(429)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(432)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(434)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(437)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(443)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(445)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(446)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(447)), {C=0.001037463976945245, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(448)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(449)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(450)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(451)), {C=0.0009221902017291068, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(454)), {C=0.001037463976945245, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(456)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(459)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(460)), {C=0.0009221902017291068, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(463)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(464)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(465)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(471)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(473)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(475)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(476)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(477)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(478)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(480)), {C=0.0009221902017291068, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(483)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(484)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(485)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(487)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(489)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(490)), {C=0.001037463976945245, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(498)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(499)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(501)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(505)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(513)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(516)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(518)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(521)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(525)), {C=0.0005763688760806917, S=0.00048633401420095323}
