(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(645)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(656)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(664)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(667)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(668)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(685)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(717)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(721)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(730)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(744)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(763)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(771)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(778)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(785)), {C=0.0008417508417508418, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(814)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(836)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(837)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(850)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(862)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(888)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(895)), {C=0.0008417508417508418, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(896)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(900)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(902)), {C=0.0007365319865319865, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(912)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(914)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(923)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(927)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(929)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(936)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(937)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(961)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(970)), {C=0.0008417508417508418, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(995)), {C=0.0008417508417508418, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(996)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1026)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1031)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1041)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1084)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1090)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1097)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1107)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1136)), {C=0.0007365319865319865, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1148)), {C=0.0007365319865319865, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1159)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1198)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1199)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1203)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1224)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1227)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1230)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1245)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1275)), {C=0.0007365319865319865, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1295)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1296)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1326)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1339)), {C=0.0007365319865319865, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1346)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1363)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1386)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1390)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1394)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1398)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1407)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1410)), {C=0.0007365319865319865, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1417)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1426)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1432)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1442)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1445)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1461)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1469)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1489)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1500)), {C=0.0009469696969696971, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1503)), {C=0.0008417508417508418, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1516)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1525)), {C=0.0007365319865319865, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1552)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1554)), {C=0.0005260942760942762, S=0.00048633401420095323}
