(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(10)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(566)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.000955223880597015, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(576)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(595)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(598)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(599)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(605)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(608)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(609)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(615)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(622)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(628)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(670)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(691)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(692)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(714)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(732)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(737)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(748)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(767)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(769)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(778)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(784)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(791)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(810)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(815)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(838)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(842)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(848)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(856)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(871)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(897)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(900)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(908)), {C=0.000955223880597015, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(915)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(924)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(925)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(926)), {C=0.0008358208955223879, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(927)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(938)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(942)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(948)), {C=0.0008358208955223879, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(958)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(960)), {C=0.0008358208955223879, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(965)), {C=0.0008358208955223879, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(970)), {C=0.0008358208955223879, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(972)), {C=0.0010746268656716418, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(980)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(983)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(989)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(992)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(996)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1005)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1016)), {C=0.000955223880597015, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1019)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1032)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1037)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1041)), {C=0.0008358208955223879, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1045)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1049)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1055)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1059)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1079)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1082)), {C=0.0008358208955223879, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1088)), {C=0.0008358208955223879, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1091)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1092)), {C=0.0010746268656716418, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1124)), {C=0.0008358208955223879, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1127)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1145)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1147)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1171)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1172)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1187)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1198)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1210)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1230)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1232)), {C=0.000955223880597015, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1239)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1263)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1275)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1290)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1312)), {C=0.000955223880597015, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1316)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1330)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1349)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1352)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1376)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1379)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1385)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1386)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1388)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1398)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1413)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1416)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1417)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1418)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1421)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1435)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1441)), {C=0.000955223880597015, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0008358208955223879, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1448)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1453)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1470)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1471)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1477)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1478)), {C=0.0007164179104477611, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1479)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1494)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1511)), {C=0.0008358208955223879, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1523)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1525)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1533)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1536)), {C=0.0008358208955223879, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1554)), {C=0.0005970149253731343, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1556)), {C=0.0005970149253731343, S=0.00048633401420095323}
