(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(19)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(420)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(421)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(425)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(426)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(427)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(434)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(440)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(446)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(448)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(455)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(456)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(460)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(472)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(473)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(475)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(477)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(481)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(485)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(494)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(497)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(506)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(508)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(513)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(518)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(523)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(537)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(539)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(545)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(547)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(549)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(554)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(562)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(570)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(571)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(576)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(579)), {C=0.0007904357276948919, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(580)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(589)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(592)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(593)), {C=0.0007904357276948919, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(603)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(609)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(616)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(617)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(620)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(621)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(623)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(629)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(631)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(632)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(638)), {C=0.0007904357276948919, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(647)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(652)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(662)), {C=0.0008892401936567534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(671)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(672)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(682)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(690)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(712)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(726)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(755)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(763)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(765)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(769)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(775)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(782)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(783)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(787)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(789)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(797)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(812)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(818)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(820)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(822)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(823)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(824)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(828)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(832)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(835)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(855)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(882)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(883)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(887)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(889)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(892)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(894)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(900)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(914)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(917)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(927)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(933)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(934)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(952)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(955)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(963)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(964)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(965)), {C=0.0007904357276948919, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(966)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(979)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(987)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(988)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(994)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(996)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(997)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(999)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1007)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1012)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1021)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1024)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1030)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1031)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1036)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1038)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1039)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1067)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1087)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1093)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1105)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1107)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1113)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1114)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1134)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1166)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1171)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1173)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1182)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1185)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1192)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1195)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1207)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1212)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1224)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1227)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1228)), {C=0.0006916312617330303, S=0.0006808676198813345}
