(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(21)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(403)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(438)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(448)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(451)), {C=0.0010429082240762813, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(498)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(501)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(502)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(504)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(527)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(532)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(547)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(548)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(567)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(581)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(582)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(584)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(604)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(615)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(623)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(648)), {C=0.0010429082240762813, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(671)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(683)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(712)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(775)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(837)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(847)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(863)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(865)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(876)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(923)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(929)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(930)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(939)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(947)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(962)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(967)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(970)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(984)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(986)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1025)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1029)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1037)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1044)), {C=0.001191895113230036, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1066)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1110)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1112)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1123)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1162)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1164)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1205)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1209)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1213)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1222)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1250)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1251)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1275)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1289)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1296)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1297)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1343)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1351)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1368)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1389)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1399)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1409)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1441)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1446)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1453)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1487)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1496)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1513)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1532)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1538)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1546)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1547)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1550)), {C=0.0007449344457687724, S=0.00048633401420095323}
