(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(6)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(133)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(137)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(138)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(139)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(141)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(147)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(148)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(149)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(162)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(163)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(177)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(180)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(181)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(182)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(187)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(190)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(195)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(196)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(206)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(210)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(212)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(213)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(222)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(224)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(227)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(228)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(231)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(233)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(238)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(239)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(243)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(244)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(245)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(249)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(251)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(253)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(255)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(258)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(260)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(265)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(266)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(270)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(271)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(287)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(289)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(296)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(298)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(300)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(301)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(307)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(309)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(310)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(313)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(314)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(316)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(318)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(321)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(328)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(329)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(332)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(334)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(335)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(336)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(337)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(340)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(342)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(343)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(344)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(346)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(347)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(353)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(362)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(363)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(364)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(365)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(366)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(369)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(370)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(375)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(378)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(382)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(384)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(385)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(390)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(392)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(393)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(394)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(395)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(400)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(405)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(408)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(413)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(414)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(419)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(426)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(433)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(437)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(439)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(441)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(442)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(452)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(454)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(456)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(458)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(459)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(460)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(462)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(463)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(470)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(472)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(473)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(474)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(475)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(477)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(480)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(481)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(483)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(485)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(486)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(492)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(497)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(500)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(503)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(504)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(506)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(509)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(511)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(513)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(515)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(516)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(518)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(521)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(522)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(525)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(528)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(529)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(533)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(534)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(536)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(540)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(541)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(543)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(545)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(547)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(548)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(549)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(551)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(553)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(554)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(555)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(566)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(567)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(568)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(570)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(571)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(575)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(577)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(581)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(582)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(583)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(584)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(585)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(587)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(588)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(590)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(592)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(593)), {C=0.0013634814225656174, S=0.0011672016340822876}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(594)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(596)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(597)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(598)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(602)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(604)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(606)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(609)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(612)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(613)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(620)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(622)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(624)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(626)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(628)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(629)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(633)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(636)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(637)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(638)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(641)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(645)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(647)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(660)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(663)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(679)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(680)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(682)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(688)), {C=0.0007953641631632768, S=0.0006808676198813345}
