(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(11)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(65)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(66)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(72)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(76)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(78)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(82)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(90)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(96)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(98)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(106)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(108)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(112)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(115)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(117)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(118)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(119)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(121)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(129)), {C=0.0010707911957168353, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(131)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(132)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(136)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(137)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(138)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(153)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(158)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(164)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(174)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(177)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(180)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(181)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(194)), {C=0.001189767995240928, S=0.0009726680284019065}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(199)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(201)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(211)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(231)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(236)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(238)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(240)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(244)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(253)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(262)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(266)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(267)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(274)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(275)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(277)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(278)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(282)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(285)), {C=0.001189767995240928, S=0.0009726680284019065}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(288)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(292)), {C=0.0010707911957168353, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(299)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(302)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(305)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(307)), {C=0.0010707911957168353, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(308)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(311)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(318)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(320)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(328)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(331)), {C=0.001189767995240928, S=0.0009726680284019065}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(335)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(337)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(338)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(340)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(341)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(348)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(354)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(355)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(358)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(359)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(362)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(366)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(369)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(370)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(371)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(372)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(378)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(379)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(380)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(384)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(387)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(390)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(400)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(407)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(414)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(417)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(419)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(420)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(423)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(425)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(428)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(429)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(432)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(434)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(436)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(439)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(443)), {C=0.001189767995240928, S=0.0009726680284019065}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(444)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(445)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(448)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(452)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(455)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(456)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(457)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(460)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(463)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(465)), {C=0.0013087447947650209, S=0.001069934831242097}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(477)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(481)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(482)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(483)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(484)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(485)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(489)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(491)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(498)), {C=0.0010707911957168353, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(501)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(502)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(503)), {C=0.0010707911957168353, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(506)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(511)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(514)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(516)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(528)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(533)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(535)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(537)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(538)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(539)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(541)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(544)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(546)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(553)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(558)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(565)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(567)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(568)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(574)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(576)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(581)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(585)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(590)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(594)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(595)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(600)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(607)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(610)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(612)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(613)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(615)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(617)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(622)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(629)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(634)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(639)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(645)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(651)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(660)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(669)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(670)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(671)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(683)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(688)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(695)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(704)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(708)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(710)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(712)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(716)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(718)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(720)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(725)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(727)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(734)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(735)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(747)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(752)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(754)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(756)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(760)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(761)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(762)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(764)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(772)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(773)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(777)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(786)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(793)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(794)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(795)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(806)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(814)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(819)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(821)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(822)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(823)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(827)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(832)), {C=0.0007138607971445567, S=0.0005836008170411438}
