(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(2)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(183)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(185)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(189)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(194)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(196)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(197)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(198)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(202)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(207)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(212)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(214)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(215)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(219)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(221)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(222)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(223)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(226)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(228)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(233)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(234)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(235)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(236)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(237)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(238)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(241)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(248)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(250)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(254)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(256)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(261)), {C=0.0010927634774162216, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(262)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(265)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(281)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(282)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(297)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(298)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(302)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(305)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(308)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(313)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(314)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(315)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(322)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(330)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(333)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(334)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(335)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(341)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(344)), {C=0.0010927634774162216, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(345)), {C=0.0010927634774162216, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(349)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(351)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(353)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(360)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(361)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(362)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(365)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(370)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(371)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(376)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(378)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(382)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(384)), {C=0.0012141816415735796, S=0.0009726680284019065}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(385)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(386)), {C=0.0010927634774162216, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(387)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(388)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(390)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(402)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(403)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(404)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(405)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(408)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(410)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(412)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(415)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(416)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(418)), {C=0.0010927634774162216, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(420)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(421)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(423)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(424)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(426)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(427)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(431)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(435)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(436)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(438)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(440)), {C=0.0012141816415735796, S=0.0009726680284019065}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(443)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(445)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(446)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(447)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(448)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(451)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(454)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(455)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(458)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(460)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(461)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(464)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(466)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(468)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(470)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(471)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(472)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(478)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(480)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(481)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(482)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(484)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(485)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(490)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(491)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(492)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(493)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(498)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(499)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(501)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(502)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(503)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(504)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(505)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(508)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(511)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(515)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(517)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(519)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(520)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(521)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(522)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(523)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(525)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(527)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(530)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(531)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(532)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(535)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(536)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(539)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(540)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(542)), {C=0.0010927634774162216, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(546)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(547)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(548)), {C=0.0008499271491015056, S=0.0006808676198813345}
