(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(26)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(952)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(975)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1006)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1182)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1228)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1235)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1272)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1284)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1291)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1322)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1336)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1411)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1454)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1479)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1495)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1503)), {C=0.0009027986758952754, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1529)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1534)), {C=0.0005015548199418197, S=0.00048633401420095323}
