(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(18)), {C=0.0006106870229007633, S=0.0005836008170411438}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(549)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(552)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(557)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(570)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(659)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(664)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(671)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(718)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(728)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(751)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(760)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(787)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(821)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(826)), {C=0.0006106870229007633, S=0.0005836008170411438}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(862)), {C=0.0006106870229007633, S=0.0005836008170411438}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(933)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(951)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(987)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1001)), {C=0.0006106870229007633, S=0.0005836008170411438}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1003)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1007)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1018)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1024)), {C=0.0006106870229007633, S=0.0005836008170411438}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1036)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1037)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1039)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1046)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1086)), {C=0.0007124681933842238, S=0.0006808676198813345}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1099)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1104)), {C=0.0006106870229007633, S=0.0005836008170411438}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1164)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1173)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1232)), {C=0.0006106870229007633, S=0.0005836008170411438}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1245)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1308)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1322)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1336)), {C=0.0006106870229007633, S=0.0005836008170411438}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1362)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1377)), {C=0.0006106870229007633, S=0.0005836008170411438}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1381)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1389)), {C=0.0008142493638676845, S=0.0007781344227215252}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1426)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1465)), {C=0.0006106870229007633, S=0.0005836008170411438}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1498)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1522)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1536)), {C=0.0005089058524173028, S=0.00048633401420095323}
