(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(2)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(91)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(95)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(107)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(109)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(114)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(115)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(118)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(126)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(128)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(130)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(133)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(141)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(142)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(143)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(145)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(151)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(153)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(154)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(157)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(159)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(162)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(170)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(174)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(176)), {C=0.0010559662090813095, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(178)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(181)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(183)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(188)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(190)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(194)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(198)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(199)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(200)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(211)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(220)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(223)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(227)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(228)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(232)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(233)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(244)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(250)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(254)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(256)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(257)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(269)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(274)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(281)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(283)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(285)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(286)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(289)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(296)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(298)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(302)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(304)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(305)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(309)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(313)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(315)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(323)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(327)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(330)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(334)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(344)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(345)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(351)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(353)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(360)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(362)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(369)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(370)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(371)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(376)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(378)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(380)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(382)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(383)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(384)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(385)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(388)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(391)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(395)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(398)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(399)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(403)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(404)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(406)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(408)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(410)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(412)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(415)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(416)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(417)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(418)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(420)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(425)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.0009503695881731785, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(428)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(439)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(440)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(447)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(454)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(459)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(460)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(467)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(468)), {C=0.0011615628299894403, S=0.001069934831242097}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(470)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(472)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(478)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(482)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(484)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(486)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(489)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(493)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(502)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(505)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(506)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(510)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(514)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(520)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(524)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(530)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(535)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(536)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(538)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(541)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(542)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(544)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(552)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(553)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(560)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(565)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(568)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(571)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(576)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(581)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(583)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(586)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0009503695881731785, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(588)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(590)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(592)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(594)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(598)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(603)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(605)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(606)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(611)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(614)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(615)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(617)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(623)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(625)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(631)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(633)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(636)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(639)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(640)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(643)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(656)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(658)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(663)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(666)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(675)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(683)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(686)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(688)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(689)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(696)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(705)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(707)), {C=0.0005279831045406548, S=0.00048633401420095323}
