(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(11)), {C=0.0013278609367455337, S=0.001069934831242097}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(216)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(222)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(230)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(237)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(261)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(264)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(266)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(267)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(271)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(277)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(302)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(303)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(317)), {C=0.0009657170449058427, S=0.0007781344227215252}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(318)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(327)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(331)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(334)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(336)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(342)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(343)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(350)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(358)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(364)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(380)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(388)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(392)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(397)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(410)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(411)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(417)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(426)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(437)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(441)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(447)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(448)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(451)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(455)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(456)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(457)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(467)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(469)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(484)), {C=0.0009657170449058427, S=0.0007781344227215252}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(489)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(499)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(502)), {C=0.0009657170449058427, S=0.0007781344227215252}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(503)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(518)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(519)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(533)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(536)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(537)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(538)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(541)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(542)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(546)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(549)), {C=0.0009657170449058427, S=0.0007781344227215252}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(570)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(572)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(574)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(576)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(583)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(585)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(587)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(590)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(614)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(618)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(627)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(634)), {C=0.0012071463061323034, S=0.0009726680284019065}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(659)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(664)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(666)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(668)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(681)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(685)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(693)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(699)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(718)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(725)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(727)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(728)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(736)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(739)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(761)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(772)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(777)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(789)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(797)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(798)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(810)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(818)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(819)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(820)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(825)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(827)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(829)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(830)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(831)), {C=0.001086431675519073, S=0.0008754012255617158}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(840)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(848)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(853)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(858)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(864)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(879)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(880)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(881)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(883)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(896)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(897)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(898)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(907)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(912)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(915)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(916)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(919)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(924)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(934)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(938)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(942)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(947)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(952)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(953)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(956)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(969)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(973)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(974)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(979)), {C=0.0009657170449058427, S=0.0007781344227215252}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(982)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(986)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(987)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(990)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(992)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(993)), {C=0.0009657170449058427, S=0.0007781344227215252}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1004)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1015)), {C=0.0009657170449058427, S=0.0007781344227215252}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1018)), {C=0.0012071463061323034, S=0.0009726680284019065}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1022)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1023)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1026)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1052)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1053)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1055)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1060)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1063)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1069)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1072)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1073)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1077)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1086)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1088)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1089)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1092)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1106)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1121)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1123)), {C=0.0009657170449058427, S=0.0007781344227215252}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1127)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1128)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1135)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1136)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1138)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1150)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1153)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1161)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1163)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1165)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1169)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1173)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1184)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1192)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1196)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1198)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1206)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1215)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1218)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1235)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1240)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1245)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1246)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1251)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1254)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1259)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1261)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1262)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1274)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1276)), {C=0.0009657170449058427, S=0.0007781344227215252}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1280)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1281)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1282)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1298)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1300)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1307)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1323)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1325)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1344)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1352)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1356)), {C=0.0009657170449058427, S=0.0007781344227215252}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1358)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1370)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1389)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1398)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1407)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1413)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1419)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1432)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1437)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1441)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1446)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1451)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1452)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1455)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1462)), {C=0.0006035731530661517, S=0.00048633401420095323}
